timestamp_us,phase_onnx,raw_phase_onnx,stride_rate_hz_onnx,cos_value_onnx,sin_value_onnx,total_predictions_onnx,phase_keras,raw_phase_keras,stride_rate_hz_keras,cos_value_keras,sin_value_keras,total_predictions_keras,phase_error_cycle,phase_error_percent,phase_abs_error_percent
608784152,0.7013874964166926,0.7013874964166926,1.278629183769226,-0.3217041790485382,-1.0202841758728027,1,0.7013875249115291,0.7013875249115291,1.278628945350647,-0.3217039406299591,-1.0202840566635132,1,2.8494836490366993e-08,2.8494836490366993e-06,2.8494836490366993e-06
608817486,0.7439952012150731,0.6950775457027147,1.278231143951416,-0.3658485114574432,-1.017738938331604,2,0.7439952257362666,0.6950775480226647,1.2782310247421265,-0.36584845185279846,-1.0177388191223145,2,2.4521193520143925e-08,2.4521193520143925e-06,2.4521193520143925e-06
608850820,0.7865890817095087,0.66155194604819,1.2778164148330688,-0.663857638835907,-1.0689715147018433,3,0.7865891062307022,0.6615519875745026,1.2778164148330688,-0.6638574004173279,-1.0689717531204224,3,2.4521193520143925e-08,2.4521193520143925e-06,2.4521193520143925e-06
608884154,0.8277852769940343,0.6318737738778084,1.2358858585357666,-0.8927456736564636,-0.9733928442001344,4,0.8277853015152278,0.6318737791710327,1.2358858585357666,-0.8927456140518188,-0.9733928442001343,4,2.4521193520143925e-08,2.4521193520143925e-06,2.4521193520143925e-06
608917488,0.8678734537213292,0.6202415011672469,1.2026453018188477,-0.9512094259262084,-0.8959651589393616,5,0.8678734782425227,0.6202415117362049,1.2026453018188477,-0.9512094259262085,-0.8959652781486511,5,2.4521193520143925e-08,2.4521193520143925e-06,2.4521193520143925e-06
608950822,0.9080573634554192,0.6176159913368104,1.205517292022705,-0.961180865764618,-0.8758886456489563,6,0.9080573840029699,0.6176159805528314,1.2055171728134155,-0.9611808657646179,-0.8758885264396667,6,2.054755066094316e-08,2.054755066094316e-06,2.054755066094316e-06
608984156,0.9476748899866388,0.6102185066622625,1.1885257959365845,-0.9655374884605408,-0.8009974360466003,7,0.9476749105341894,0.6102185046787454,1.1885257959365845,-0.9655373692512512,-0.8009973168373108,7,2.0547550549920857e-08,2.0547550549920857e-06,2.0547550549920857e-06
609017490,0.9883572217076269,0.6372749308874763,1.220469951629639,-0.7870775461196899,-0.9189148545265198,8,0.9883572422551774,0.637274903676603,1.2204699516296387,-0.7870776653289795,-0.9189146757125854,8,2.0547550549920857e-08,2.0547550549920857e-06,2.0547550549920857e-06
609050824,0.0239473577588047,0.818030859406751,1.0677040815353394,0.546782374382019,-1.2002979516983032,9,0.023947378306355294,0.818030892132407,1.0677040815353394,0.5467826724052429,-1.2002979516983032,9,2.0547550549920857e-08,2.0547550549920857e-06,2.0547550549920857e-06
609084158,0.0549635645001377,0.9092591686717116,0.9304862022399902,1.332245707511902,-0.8541935086250305,10,0.05496358902133129,0.9092591442130296,0.9304863214492798,1.3322453498840332,-0.8541935682296753,10,2.4521193631166227e-08,2.4521193631166227e-06,2.4521193631166227e-06
