local_time,telemetry_ts,left_angle,right_angle,angle_diff,phase_left,phase_right,assist_left,assist_right,assist_enabled
2026-04-01 16:46:26.080,1775033186.312075,0.022818,-0.005177,0.027996,5.575221,2.433628,0.000000,0.000000,0
2026-04-01 16:46:26.099,1775033186.349776,0.027804,-0.009396,0.037200,5.381967,2.240374,0.000000,0.000000,0
2026-04-01 16:46:26.117,1775033186.384697,0.029338,-0.010163,0.039501,5.211632,2.070039,0.000000,0.000000,0
2026-04-01 16:46:26.147,1775033186.419795,0.028954,-0.010546,0.039501,5.065562,1.923969,0.000000,0.000000,0
2026-04-01 16:46:26.167,1775033186.456498,0.029338,-0.011313,0.040651,4.945261,1.803668,0.000000,0.000000,0
2026-04-01 16:46:26.202,1775033186.493888,0.028954,-0.011313,0.040268,4.851532,1.709939,0.000000,0.000000,0
2026-04-01 16:46:26.217,1775033186.532302,0.028954,-0.010930,0.039884,4.781852,1.640259,0.000000,0.000000,0
2026-04-01 16:46:26.273,1775033186.574261,0.028571,-0.011313,0.039884,4.736916,1.595324,0.000000,0.000000,0
2026-04-01 16:46:26.302,1775033186.613427,0.028571,-0.011313,0.039884,4.715315,1.573722,0.000000,0.000000,0
2026-04-01 16:46:26.318,1775033186.651098,0.028954,-0.011313,0.040268,4.712389,1.570796,0.000000,0.000000,0
2026-04-01 16:46:26.357,1775033186.686324,0.028954,-0.011697,0.040651,4.774900,1.633308,0.000000,0.000000,0
2026-04-01 16:46:26.384,1775033186.724857,0.029338,-0.012080,0.041418,4.836847,1.695254,0.000000,0.000000,0
2026-04-01 16:46:26.407,1775033186.762411,0.030105,-0.012464,0.042569,4.898412,1.756820,0.000000,0.000000,0
2026-04-01 16:46:26.506,1775033186.795690,0.031639,-0.015148,0.046787,4.959727,1.818135,0.000000,0.000000,0
2026-04-01 16:46:26.538,1775033186.833677,0.033556,-0.020134,0.053690,5.020881,1.879288,0.000000,0.000000,0
2026-04-01 16:46:26.568,1775033186.874629,0.036624,-0.022435,0.059059,5.081934,1.940342,0.000000,0.000000,0
2026-04-01 16:46:26.589,1775033186.912970,0.040843,-0.025503,0.066346,5.142929,2.001336,0.000000,0.000000,0
2026-04-01 16:46:26.606,1775033186.951178,0.041610,-0.028187,0.069797,5.203891,2.062298,0.000000,0.000000,0
2026-04-01 16:46:26.640,1775033186.985270,0.044678,-0.030488,0.075166,5.264835,2.123243,0.000000,0.000000,0
2026-04-01 16:46:26.679,1775033187.019864,0.047746,-0.031255,0.079001,5.325768,2.184176,0.000000,0.000000,0
2026-04-01 16:46:26.715,1775033187.057531,0.049663,-0.032406,0.082069,5.386690,2.245098,0.000000,0.000000,0
2026-04-01 16:46:26.817,1775033187.096455,0.050430,-0.032789,0.083220,5.447598,2.306005,0.000000,0.000000,0
