timestamp_us,phase_onnx,raw_phase_onnx,stride_rate_hz_onnx,cos_value_onnx,sin_value_onnx,total_predictions_onnx,phase_keras,raw_phase_keras,stride_rate_hz_keras,cos_value_keras,sin_value_keras,total_predictions_keras,phase_error_cycle,phase_error_percent,phase_abs_error_percent
185648451,0.4872000138906135,0.6345235087752887,0.424196183681488,-0.3574850559234619,-0.4030482172966003,53,0.4872000243997927,0.634523515361943,0.42419618368148804,-0.3574850261211395,-0.40304821729660034,53,1.0509179193540774e-08,1.0509179193540774e-06,1.0509179193540774e-06
185681785,0.5084067266133918,0.6343930047692432,0.4241342544555664,-0.3575707376003265,-0.4024795293807983,54,0.508406737122571,0.6343929791586922,0.4241342544555664,-0.3575708270072937,-0.40247949957847595,54,1.0509179193540774e-08,1.0509179193540774e-06,1.0509179193540774e-06
185715119,0.529617507353176,0.6343194231569307,0.4242156147956848,-0.3578003048896789,-0.402363121509552,55,0.5296175193524714,0.6343194524046563,0.4242156445980072,-0.35780006647109985,-0.40236300230026245,55,1.199929533513e-08,1.199929533513e-06,1.199929533513e-06
185748453,0.5508310567287101,0.6343958684133524,0.4242709875106811,-0.3573818206787109,-0.4022814631462097,56,0.5508310687280055,0.6343959321050313,0.42427098751068115,-0.3573816120624542,-0.4022815525531769,56,1.199929533513e-08,1.199929533513e-06,1.199929533513e-06
185781787,0.5720436226276054,0.6345032890318242,0.4242513179779053,-0.3572745025157928,-0.4027077555656433,57,0.5720436390972491,0.6345032150466345,0.42425140738487244,-0.3572748899459839,-0.4027078151702881,57,1.6469643648875376e-08,1.6469643648875376e-06,1.6469643648875376e-06
185815121,0.5932608704713478,0.6344392626601127,0.4243449568748474,-0.357461929321289,-0.402592658996582,58,0.5932608899212237,0.6344393058214879,0.4243450164794922,-0.3574618399143219,-0.4025927782058716,58,1.944987593205383e-08,1.944987593205383e-06,1.944987593205383e-06
185848455,0.6144816707519187,0.6343964213029464,0.4244160056114197,-0.3576684892177582,-0.4026069641113281,59,0.6144816946721431,0.6343964432313243,0.42441609501838684,-0.35766854882240295,-0.40260714292526245,59,2.3920224356821507e-08,2.3920224356821507e-06,2.3920224356821507e-06
185881789,0.6344028395283101,0.6344028395283101,0.4243502020835876,-0.3576781451702118,-0.4026505351066589,60,0.6344028336794241,0.6344028336794241,0.4243502914905548,-0.3576781451702118,-0.40265050530433655,60,-5.848886042159052e-09,-5.848886042159052e-07,5.848886042159052e-07
185915123,0.6485470127928136,0.6343441984762839,0.4243251979351043,-0.3576812148094177,-0.4023553133010864,61,0.648547004957106,0.6343443111538773,0.4243251383304596,-0.35768091678619385,-0.4023555517196655,61,-7.835707527270586e-09,-7.835707527270586e-07,7.835707527270586e-07
185948457,0.662691044992991,0.6342518631350347,0.4243209660053253,-0.3578716218471527,-0.402099460363388,62,0.662691035170462,0.6342519055904834,0.42432090640068054,-0.35787156224250793,-0.402099609375,62,-9.82252901238212e-09,-9.82252901238212e-07,9.82252901238212e-07
