local_time,arrival_time_monotonic,timestamp_us,role,role_label,mac_address,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2026-04-02 12:57:02.162,1563.167424414,206354825,left_foot,左脚,D4:22:CD:00:84:61,0.7626230716705322,0.202332004904747,-0.36100831627845764,0.4971327781677246,-4.37769027633357,-48.74637933828351,68.18252983239408,-6.0314435958862305,2.200237274169922,-2.5959975719451904,-0.6282973289489746,1.3661658763885498,-1.7560302019119263
2026-04-02 12:57:02.191,1563.196497392,206371492,left_foot,左脚,D4:22:CD:00:84:61,0.7625299692153931,0.20233102142810822,-0.36111322045326233,0.49719956517219543,-4.395304692774015,-48.75671928884389,68.20444073604145,7.15622615814209,-0.4927658438682556,6.249061584472656,0.09925560653209686,-0.13754019141197205,0.28590813279151917
2026-04-02 12:57:02.222,1563.227375096,206404826,left_foot,左脚,D4:22:CD:00:84:61,0.7624614834785461,0.202259823679924,-0.3612852096557617,0.49720868468284607,-4.423783444716773,-48.76937905381694,68.22362145266874,7.1534552574157715,-0.48288992047309875,6.258459091186523,0.07023321837186813,-0.10795752704143524,0.22517725825309753
2026-04-02 12:57:02.251,1563.256247576,206438160,left_foot,左脚,D4:22:CD:00:84:61,0.7623473405838013,0.2022964209318161,-0.3612763583660126,0.4973750710487366,-4.432720138678773,-48.77006176136606,68.25310357500985,7.1518940925598145,-0.47853943705558777,6.264586925506592,0.08115703612565994,-0.16878128051757812,0.234103262424469
2026-04-02 12:57:02.281,1563.286440028,206471494,left_foot,左脚,D4:22:CD:00:84:61,0.7622407078742981,0.20235705375671387,-0.3612208962440491,0.49755433201789856,-4.434680243001788,-48.767547810073886,68.28011104020491,7.158871173858643,-0.48464077711105347,6.261510372161865,0.07036769390106201,-0.18922021985054016,0.14178229868412018
2026-04-02 12:57:02.311,1563.316442299,206504828,left_foot,左脚,D4:22:CD:00:84:61,0.7621461153030396,0.2023780643939972,-0.361235648393631,0.4976798892021179,-4.44461510046997,-48.769802216969524,68.30447041361249,7.158007621765137,-0.49533510208129883,6.253150463104248,0.006412779446691275,-0.17251433432102203,0.2469160109758377
2026-04-02 12:57:02.341,1563.346322509,206538162,left_foot,左脚,D4:22:CD:00:84:61,0.7620026469230652,0.20244428515434265,-0.36122792959213257,0.4978782534599304,-4.452942197055449,-48.77247790476993,68.3391594976224,7.14457893371582,-0.4915371835231781,6.261180877685547,0.065302774310112,-0.15393872559070587,0.1773391216993332
2026-04-02 12:57:02.371,1563.37642255,206571496,left_foot,左脚,D4:22:CD:00:84:61,0.7619122862815857,0.2024834156036377,-0.36122801899909973,0.49800047278404236,-4.458821478512063,-48.774509792409425,68.36102643408576,7.151769638061523,-0.4756011962890625,6.268462181091309,0.1007443442940712,-0.20041294395923615,0.17343319952487946
2026-04-02 12:57:02.431,1563.436306225,206604830,left_foot,左脚,D4:22:CD:00:84:61,0.7618112564086914,0.20250152051448822,-0.3612421751022339,0.49813735485076904,-4.470008823363758,-48.77642865424998,68.38757820390622,7.1551079750061035,-0.48143765330314636,6.2606329917907715,0.012303699739277363,-0.20814798772335052,0.31010255217552185
2026-04-02 12:57:02.461,1563.466520276,206638164,left_foot,左脚,D4:22:CD:00:84:61,0.7617315053939819,0.20252980291843414,-0.36125367879867554,0.4982396364212036,-4.47673973386138,-48.77898340473563,68.40702599336102,7.163678169250488,-0.4875850975513458,6.258005142211914,0.033824771642684937,-0.20234669744968414,0.24014785885810852
2026-04-02 12:57:02.491,1563.496684882,206671498,left_foot,左脚,D4:22:CD:00:84:61,0.761620819568634,0.20260170102119446,-0.361249178647995,0.4983828663825989,-4.480065695713868,-48.78270917602973,68.43143029940578,7.151656150817871,-0.492279589176178,6.276310443878174,0.16631928086280823,-0.2161903977394104,0.24166543781757355
2026-04-02 12:57:02.524,1563.529586812,206704832,left_foot,左脚,D4:22:CD:00:84:61,0.7615582942962646,0.20262527465820312,-0.36127206683158875,0.49845218658447266,-4.485824252299514,-48.786301517330266,68.44582736063079,7.155431270599365,-0.48129135370254517,6.266058921813965,0.0973890945315361,-0.22612173855304718,0.24083302915096283
2026-04-02 12:57:02.551,1563.556488434,206738166,left_foot,左脚,D4:22:CD:00:84:61,0.7615259289741516,0.20262593030929565,-0.36132317781448364,0.4984642565250397,-4.492555399168473,-48.791524003041324,68.4526334846675,7.148678779602051,-0.47274625301361084,6.266452312469482,0.023579690605401993,-0.2705085277557373,0.2217707484960556
2026-04-02 12:57:02.581,1563.586528508,206771500,left_foot,左脚,D4:22:CD:00:84:61,0.761422872543335,0.20265918970108032,-0.36135542392730713,0.4985848069190979,-4.502628020967242,-48.79644933501999,68.47724626503974,7.155665397644043,-0.47861990332603455,6.249994277954102,0.013129710219800472,-0.26438066363334656,0.3243560194969177
2026-04-02 12:57:02.611,1563.616626799,206804834,left_foot,左脚,D4:22:CD:00:84:61,0.7613832950592041,0.20266851782798767,-0.3613835871219635,0.4986210763454437,-4.507825173184677,-48.79977721513445,68.4863146010354,7.161782264709473,-0.4874871075153351,6.244943141937256,0.06146727502346039,-0.18920740485191345,0.24815823137760162
2026-04-02 12:57:02.641,1563.646323748,206838168,left_foot,左脚,D4:22:CD:00:84:61,0.761322021484375,0.2027071714401245,-0.36140182614326477,0.4986855387687683,-4.510888653928082,-48.80397758449189,68.49892205390611,7.157299518585205,-0.4837052822113037,6.261649131774902,0.09882979840040207,-0.1990426927804947,0.21475927531719208
2026-04-02 12:57:02.671,1563.676517487,206871502,left_foot,左脚,D4:22:CD:00:84:61,0.7612772583961487,0.2027248740196228,-0.3614308834075928,0.4987257719039917,-4.515545361591631,-48.80795667832311,68.50855229493739,7.147709846496582,-0.4822908937931061,6.258251667022705,0.0834621861577034,-0.19452844560146332,0.24539846181869507
2026-04-02 12:57:02.731,1563.736515697,206904836,left_foot,左脚,D4:22:CD:00:84:61,0.7612596750259399,0.20273631811141968,-0.3614751696586609,0.4987157881259918,-4.518360557181036,-48.81336298080873,68.5102499609295,7.148346424102783,-0.4856671392917633,6.259250164031982,0.10479114204645157,-0.2377626746892929,0.21442630887031555
2026-04-02 12:57:02.761,1563.766544705,206938170,left_foot,左脚,D4:22:CD:00:84:61,0.7612062692642212,0.20276011526584625,-0.36149802803993225,0.49877095222473145,-4.522893268399243,-48.81705025406708,68.52198016252595,7.155261039733887,-0.4873351454734802,6.266446590423584,0.10148070752620697,-0.1926715075969696,0.255188912153244
2026-04-02 12:57:02.791,1563.796511554,206971504,left_foot,左脚,D4:22:CD:00:84:61,0.7611117959022522,0.20280955731868744,-0.36148715019226074,0.4989028871059418,-4.527188213137414,-48.818614408290614,68.54442149606164,7.149773597717285,-0.4795139729976654,6.267328262329102,0.07425441592931747,-0.13099615275859833,0.22960183024406433
2026-04-02 12:57:02.821,1563.826491311,207004838,left_foot,左脚,D4:22:CD:00:84:61,0.7610833048820496,0.20281141996383667,-0.36149999499320984,0.4989364445209503,-4.531298100353912,-48.81985918335974,68.55184899561976,7.147510051727295,-0.48351573944091797,6.264066696166992,0.12072224915027618,-0.12712222337722778,0.2675918638706207
2026-04-02 12:57:02.851,1563.856471448,207038172,left_foot,左脚,D4:22:CD:00:84:61,0.7610276937484741,0.2028118371963501,-0.361535906791687,0.4989950656890869,-4.540345390432005,-48.82322311364224,68.56613330340312,7.153780937194824,-0.48131251335144043,6.261646747589111,0.025225307792425156,-0.1959819793701172,0.31117188930511475
2026-04-02 12:57:02.881,1563.886528303,207071506,left_foot,左脚,D4:22:CD:00:84:61,0.760948896408081,0.20285874605178833,-0.36155965924263,0.4990789592266083,-4.544743351798461,-48.828446394807735,68.58265687980365,7.146456241607666,-0.48498237133026123,6.265660285949707,0.1102338507771492,-0.248500794172287,0.25897958874702454
2026-04-02 12:57:02.911,1563.916607301,207104840,left_foot,左脚,D4:22:CD:00:84:61,0.7609024047851562,0.20288188755512238,-0.36160558462142944,0.49910712242126465,-4.549657190258468,-48.83461113686783,68.59136177019965,7.153781890869141,-0.4830510914325714,6.244101047515869,0.039882171899080276,-0.2721477150917053,0.20730599761009216
2026-04-02 12:57:02.941,1563.946404715,207138174,left_foot,左脚,D4:22:CD:00:84:61,0.7608309984207153,0.2029067426919937,-0.3616029918193817,0.4992077648639679,-4.555093878988778,-48.83548584293323,68.60940409786392,7.1528239250183105,-0.4951580762863159,6.265037536621094,0.016987623646855354,-0.1096479594707489,0.21152245998382568
2026-04-02 12:57:02.971,1563.976366082,207171508,left_foot,左脚,D4:22:CD:00:84:61,0.7608053088188171,0.20293179154396057,-0.3616119623184204,0.49923017621040344,-4.555105475966689,-48.83802951610026,68.61366569475953,7.153496265411377,-0.47309646010398865,6.266754150390625,0.16004414856433868,-0.15873470902442932,0.18873678147792816
2026-04-02 12:57:03.031,1564.036223833,207204842,left_foot,左脚,D4:22:CD:00:84:61,0.7607877850532532,0.2029222548007965,-0.3616294264793396,0.49924811720848083,-4.5597421147828285,-48.83904376515154,68.61892174910712,7.158118724822998,-0.4784714877605438,6.258636474609375,0.08645246177911758,-0.11916308104991913,0.2564247250556946
2026-04-02 12:57:03.061,1564.066307358,207238176,left_foot,左脚,D4:22:CD:00:84:61,0.760746419429779,0.2029396891593933,-0.36166468262672424,0.49927854537963867,-4.5643129718851485,-48.843698379572686,68.62728499510582,7.155776023864746,-0.4855094850063324,6.267549991607666,0.11063726991415024,-0.22869578003883362,0.2675854563713074
2026-04-02 12:57:03.091,1564.096663363,207271510,left_foot,左脚,D4:22:CD:00:84:61,0.7606819272041321,0.20297323167324066,-0.36168819665908813,0.49934619665145874,-4.568865004642368,-48.848054577687975,68.64114302320607,7.15481424331665,-0.4913512170314789,6.263099670410156,0.08153481781482697,-0.2176695168018341,0.24084581434726715
2026-04-02 12:57:03.121,1564.126324249,207304844,left_foot,左脚,D4:22:CD:00:84:61,0.7606667280197144,0.2029872089624405,-0.3617170751094818,0.49934273958206177,-4.570209699858281,-48.85201655621676,68.64263155460159,7.156219482421875,-0.4870007634162903,6.241733551025391,0.09996315836906433,-0.20106607675552368,0.1722998172044754
2026-04-02 12:57:03.151,1564.156498724,207338178,left_foot,左脚,D4:22:CD:00:84:61,0.7605814337730408,0.2030285745859146,-0.36173614859580994,0.49944183230400085,-4.576055930861745,-48.85628331018184,68.66182300716476,7.1506266593933105,-0.47968026995658875,6.265584945678711,0.08507577329874039,-0.21486490964889526,0.27560222148895264
2026-04-02 12:57:03.181,1564.186468047,207371512,left_foot,左脚,D4:22:CD:00:84:61,0.760497510433197,0.20306043326854706,-0.3617550730705261,0.499543160200119,-4.583181583876809,-48.85984436684181,68.68170396792007,7.151555061340332,-0.494235098361969,6.261512756347656,0.06414379924535751,-0.19773642718791962,0.2964189946651459
2026-04-02 12:57:03.211,1564.216377711,207404846,left_foot,左脚,D4:22:CD:00:84:61,0.760471761226654,0.2030400186777115,-0.36179664731025696,0.49956056475639343,-4.591787449671256,-48.86256699623559,68.6893622624586,7.152770519256592,-0.48773208260536194,6.240293979644775,0.032985955476760864,-0.17243748903274536,0.3041539788246155
2026-04-02 12:57:03.241,1564.246214904,207438180,left_foot,左脚,D4:22:CD:00:84:61,0.7604052424430847,0.20307941734790802,-0.3617962598800659,0.4996461570262909,-4.594492659410479,-48.864774667494956,68.70430883524253,7.152899265289307,-0.48507341742515564,6.2650556564331055,0.16130559146404266,-0.15276692807674408,0.2667018175125122
2026-04-02 12:57:03.271,1564.276424114,207471514,left_foot,左脚,D4:22:CD:00:84:61,0.7603834271430969,0.20308072865009308,-0.36182838678359985,0.4996553659439087,-4.5987879782816234,-48.868107860640144,68.70890217812357,7.153026103973389,-0.48346054553985596,6.276744365692139,0.09723541140556335,-0.18898329138755798,0.2485424280166626
2026-04-02 12:57:03.331,1564.336306891,207504848,left_foot,左脚,D4:22:CD:00:84:61,0.7603488564491272,0.20310445129871368,-0.36185863614082336,0.4996764361858368,-4.601263925274162,-48.87274545785607,68.71486209156095,7.158483505249023,-0.49138519167900085,6.260186672210693,0.1579311192035675,-0.2304246723651886,0.2515263259410858
2026-04-02 12:57:03.361,1564.366385804,207538182,left_foot,左脚,D4:22:CD:00:84:61,0.7603087425231934,0.20313169062137604,-0.36187219619750977,0.49971655011177063,-4.603071907470298,-48.87580576135285,68.72282987383454,7.161301136016846,-0.4810754358768463,6.255532264709473,0.13953477144241333,-0.18115219473838806,0.2234419882297516
2026-04-02 12:57:03.391,1564.396413333,207571516,left_foot,左脚,D4:22:CD:00:84:61,0.7602400779724121,0.20316679775714874,-0.3618847727775574,0.4997975826263428,-4.607370615449632,-48.879070697781216,68.73822308174377,7.156985282897949,-0.48104774951934814,6.257883548736572,0.08525507152080536,-0.18911774456501007,0.24238897860050201
2026-04-02 12:57:03.421,1564.426339927,207604850,left_foot,左脚,D4:22:CD:00:84:61,0.760197103023529,0.20318667590618134,-0.3619098663330078,0.49983686208724976,-4.611276135057461,-48.882795858257275,68.74728860033797,7.154621124267578,-0.4835279881954193,6.273212909698486,0.09378409385681152,-0.20365937054157257,0.24043600261211395
2026-04-02 12:57:03.451,1564.456266896,207638184,left_foot,左脚,D4:22:CD:00:84:61,0.7601571083068848,0.20319916307926178,-0.36192137002944946,0.4998842477798462,-4.615204553384031,-48.884565047449975,68.75691684738558,7.148796081542969,-0.4859043061733246,6.2705254554748535,0.1024731993675232,-0.14918117225170135,0.25532978773117065
2026-04-02 12:57:03.481,1564.486432976,207671518,left_foot,左脚,D4:22:CD:00:84:61,0.760109543800354,0.20322459936141968,-0.3619643747806549,0.49991491436958313,-4.619770442139752,-48.89057567434173,68.76580635079014,7.151206016540527,-0.47807276248931885,6.2652506828308105,0.08882803469896317,-0.2802349030971527,0.25209617614746094
2026-04-02 12:57:03.511,1564.516176802,207704852,left_foot,左脚,D4:22:CD:00:84:61,0.7600902915000916,0.2032042145729065,-0.36199629306793213,0.49992966651916504,-4.627047537280835,-48.892315793792044,68.77208839161837,7.150445461273193,-0.49570906162261963,6.273837566375732,0.0504666268825531,-0.1595735400915146,0.30150309205055237
2026-04-02 12:57:03.541,1564.546589528,207738186,left_foot,左脚,D4:22:CD:00:84:61,0.7600653171539307,0.20322132110595703,-0.36200565099716187,0.49995386600494385,-4.628198341179575,-48.894330139107225,68.77698570781388,7.157175064086914,-0.4841840863227844,6.261451721191406,0.11108547449111938,-0.16189146041870117,0.1935967653989792
2026-04-02 12:57:03.571,1564.576402533,207771520,left_foot,左脚,D4:22:CD:00:84:61,0.7600120306015015,0.20323577523231506,-0.3620186746120453,0.5000195503234863,-4.633648990562394,-48.89628032726179,68.79016285802993,7.152832984924316,-0.4780566692352295,6.271626949310303,0.08877040445804596,-0.1692102998495102,0.28821009397506714
2026-04-02 12:57:03.631,1564.636551878,207804854,left_foot,左脚,D4:22:CD:00:84:61,0.7599925994873047,0.20323482155799866,-0.3620143532752991,0.5000525116920471,-4.636109757997625,-48.89557206842892,68.79606216616133,7.146156311035156,-0.4878268539905548,6.264708518981934,0.18355020880699158,-0.0932302325963974,0.30277732014656067
2026-04-02 12:57:03.661,1564.666606976,207838188,left_foot,左脚,D4:22:CD:00:84:61,0.759945273399353,0.20326660573482513,-0.36201968789100647,0.5001077055931091,-4.63775537653855,-48.89801482903066,68.80601511010393,7.15451192855835,-0.4840325117111206,6.276009559631348,0.19011345505714417,-0.1898157000541687,0.2811089754104614
2026-04-02 12:57:03.691,1564.696448294,207871522,left_foot,左脚,D4:22:CD:00:84:61,0.759933352470398,0.20327609777450562,-0.3620355725288391,0.5001105666160583,-4.638699079562686,-48.90028879771359,68.80768233069851,7.151477813720703,-0.48609060049057007,6.281636714935303,0.1279706358909607,-0.18336132168769836,0.21383081376552582
2026-04-02 12:57:03.721,1564.726399242,207904856,left_foot,左脚,D4:22:CD:00:84:61,0.7599499821662903,0.20325657725334167,-0.36208873987197876,0.5000547170639038,-4.642226790409833,-48.9047024089287,68.80247597901655,7.150324821472168,-0.4818166494369507,6.267151832580566,0.029015984386205673,-0.2498902976512909,0.19047844409942627
2026-04-02 12:57:03.751,1564.756394532,207938190,left_foot,左脚,D4:22:CD:00:84:61,0.7598978281021118,0.2032834142446518,-0.3621078133583069,0.5001093745231628,-4.645969779959337,-48.90820556538498,68.81371442988926,7.158782005310059,-0.48739057779312134,6.282375335693359,0.0675438866019249,-0.22935530543327332,0.23367424309253693
2026-04-02 12:57:03.781,1564.786471359,207971524,left_foot,左脚,D4:22:CD:00:84:61,0.7598676681518555,0.2032758742570877,-0.36212024092674255,0.5001490712165833,-4.651694031973069,-48.908710102550025,68.82261132797571,7.1544976234436035,-0.48242858052253723,6.267025947570801,0.06685875356197357,-0.14752916991710663,0.29409462213516235
2026-04-02 12:57:03.811,1564.816479354,208004858,left_foot,左脚,D4:22:CD:00:84:61,0.7598690390586853,0.2032477855682373,-0.3621460497379303,0.5001397132873535,-4.657111714736058,-48.90943513937551,68.82403430395863,7.152251720428467,-0.4836999177932739,6.274382591247559,0.03550240397453308,-0.153919517993927,0.26097097992897034
2026-04-02 12:57:03.841,1564.846382748,208038192,left_foot,左脚,D4:22:CD:00:84:61,0.7598142027854919,0.20326532423496246,-0.36214902997016907,0.5002137422561646,-4.661782084522555,-48.910519843169475,68.83780148720304,7.1549072265625,-0.47968026995658875,6.25926399230957,0.09010227024555206,-0.17088152468204498,0.2914501130580902
2026-04-02 12:57:03.871,1564.876499283,208071526,left_foot,左脚,D4:22:CD:00:84:61,0.7597993612289429,0.20328031480312347,-0.362174928188324,0.5002115368843079,-4.662791048508824,-48.91423678099071,68.83923951570839,7.148077011108398,-0.48486173152923584,6.266781330108643,0.07013076543807983,-0.24223850667476654,0.1756678968667984
2026-04-02 12:57:03.931,1564.93623879,208104860,left_foot,左脚,D4:22:CD:00:84:61,0.7597655653953552,0.20331953465938568,-0.36216121912002563,0.5002567172050476,-4.6605445234494205,-48.91531788081034,68.84536416095395,7.152286529541016,-0.48648715019226074,6.261732578277588,0.13721045851707458,-0.16444635391235352,0.15858425199985504
2026-04-02 12:57:03.962,1564.967206915,208138194,left_foot,左脚,D4:22:CD:00:84:61,0.7597101926803589,0.20336245000362396,-0.36214566230773926,0.5003345608711243,-4.660469833803782,-48.916268263824136,68.85740286351842,7.145185470581055,-0.47335395216941833,6.2639899253845215,0.1161055713891983,-0.16613037884235382,0.19862328469753265
2026-04-02 12:57:03.991,1564.996156634,208171528,left_foot,左脚,D4:22:CD:00:84:61,0.7596620917320251,0.2033906728029251,-0.362148642539978,0.5003939270973206,-4.662632976559558,-48.91819568291301,68.86806115334383,7.152865409851074,-0.49361851811408997,6.271262168884277,0.08711200207471848,-0.20190492272377014,0.23339253664016724
2026-04-02 12:57:04.021,1565.0262352,208204862,left_foot,左脚,D4:22:CD:00:84:61,0.7596403956413269,0.20338423550128937,-0.36217284202575684,0.5004119873046875,-4.667702687414939,-48.92010859549946,68.87386768951384,7.1538801193237305,-0.483594685792923,6.267575263977051,0.005894122179597616,-0.204914391040802,0.2387455552816391
2026-04-02 12:57:04.051,1565.056169675,208238196,left_foot,左脚,D4:22:CD:00:84:61,0.759595513343811,0.20339550077915192,-0.36218348145484924,0.5004678964614868,-4.672420983838585,-48.92164541442004,68.8850844083961,7.1482768058776855,-0.4866181015968323,6.280735492706299,-0.003143958980217576,-0.19634056091308594,0.22425520420074463
2026-04-02 12:57:04.081,1565.086301501,208271530,left_foot,左脚,D4:22:CD:00:84:61,0.7595773935317993,0.20338942110538483,-0.3621978759765625,0.5004875063896179,-4.676463588338996,-48.922568986228754,68.8902900392495,7.155711650848389,-0.49279600381851196,6.2705254554748535,-0.003438505344092846,-0.1805311143398285,0.21139763295650482
2026-04-02 12:57:04.111,1565.116508146,208304864,left_foot,左脚,D4:22:CD:00:84:61,0.7613441348075867,0.2029687613248825,-0.3604918122291565,0.4992038905620575,-4.421868082084654,-48.725880862911104,68.50790712711735,7.1533122062683105,-0.4944857656955719,6.243999004364014,0.12381499260663986,-0.15683935582637787,0.24852320551872253
2026-04-02 12:57:04.141,1565.146124959,208338198,left_foot,左脚,D4:22:CD:00:84:61,0.7613523006439209,0.202954962849617,-0.3604860305786133,0.49920132756233215,-4.422609055129218,-48.72433375734863,68.50733774657098,7.156339645385742,-0.4763186275959015,6.263383865356445,0.11020183563232422,-0.15356093645095825,0.28653883934020996
2026-04-02 12:57:04.171,1565.176332948,208371532,left_foot,左脚,D4:22:CD:00:84:61,0.7613568305969238,0.20295320451259613,-0.3604831397533417,0.49919721484184265,-4.422137552592961,-48.723938042119194,68.50636004481231,7.16266393661499,-0.4808353781700134,6.258334159851074,0.09006384760141373,-0.18363024294376373,0.23583853244781494
2026-04-02 12:57:04.231,1565.236475823,208404866,left_foot,左脚,D4:22:CD:00:84:61,0.7613651752471924,0.20295365154743195,-0.36048322916030884,0.4991840720176697,-4.420976924074918,-48.7240588505491,68.50388018040151,7.15457820892334,-0.48034006357192993,6.263968467712402,0.10459905862808228,-0.1979733556509018,0.2280394434928894
2026-04-02 12:57:04.261,1565.266502374,208438200,left_foot,左脚,D4:22:CD:00:84:61,0.7613726854324341,0.20295703411102295,-0.3604745864868164,0.49917757511138916,-4.419048483785871,-48.723444357422714,68.50177518474861,7.146585464477539,-0.48750701546669006,6.2682671546936035,0.14285163581371307,-0.17673403024673462,0.24443800747394562
2026-04-02 12:57:04.321,1565.326475871,208471534,left_foot,左脚,D4:22:CD:00:84:61,0.7613725662231445,0.20295654237270355,-0.3604927957057953,0.4991649091243744,-4.420073344810236,-48.72534932567564,68.50100335815391,7.151189804077148,-0.4718376398086548,6.276705265045166,0.0713217630982399,-0.2536361515522003,0.2543565034866333
2026-04-02 12:57:04.322,1565.327702307,208504868,left_foot,左脚,D4:22:CD:00:84:61,0.7613711357116699,0.20295116305351257,-0.3605165183544159,0.4991520047187805,-4.4222788940044175,-48.72748507719877,68.50084299899046,7.144942283630371,-0.47965702414512634,6.2692718505859375,0.07302500307559967,-0.26383641362190247,0.286212295293808
2026-04-02 12:57:04.351,1565.356236421,208538202,left_foot,左脚,D4:22:CD:00:84:61,0.7613795399665833,0.2029266655445099,-0.36054855585098267,0.4991258978843689,-4.426530559715755,-48.72921129241468,68.49952293953235,7.147642135620117,-0.48223546147346497,6.262255668640137,-0.016885170713067055,-0.24944843351840973,0.2625141441822052
