local_time,arrival_time_monotonic,timestamp_ms,role,role_label,mac_address,foot_id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
2026-04-02 13:02:22.981,1881.987959864,1775106142981,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2331,0,0,0,0,0,2455,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:23.011,1882.017300921,1775106143011,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2359,0,0,0,0,0,2529,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:23.131,1882.137282139,1775106143131,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2849,46,0,0,0,0,3457,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:23.131,1882.137412008,1775106143131,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,6377,1339,0,0,0,0,7266,1603,0,0,0,0,0,0,0,0
2026-04-02 13:02:23.222,1882.228315521,1775106143222,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,8697,3561,0,0,0,0,9946,4210,0,0,0,0,200,0,0,0
2026-04-02 13:02:23.222,1882.228408224,1775106143222,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,8992,4458,0,0,0,0,9860,4661,608,191,0,0,868,0,0,0
2026-04-02 13:02:23.281,1882.287321032,1775106143281,right_insole,右鞋垫,FF:25:02:05:18:F3,2,152,0,7862,3962,0,0,663,0,8413,4097,1334,960,1139,0,1513,576,636,0
2026-04-02 13:02:23.341,1882.347533917,1775106143341,right_insole,右鞋垫,FF:25:02:05:18:F3,2,747,0,6358,2888,0,0,1385,0,6615,2838,1432,1520,1901,0,1521,884,1227,0
2026-04-02 13:02:23.371,1882.377593549,1775106143371,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1056,0,5257,2113,0,195,1671,0,5369,1934,1317,1790,2380,0,1490,1192,1540,0
2026-04-02 13:02:23.431,1882.437488375,1775106143431,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1120,0,4693,1727,0,183,1932,0,4807,1595,1323,2025,2771,0,1452,1303,1727,0
2026-04-02 13:02:23.491,1882.497423779,1775106143491,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1391,0,4392,1330,0,377,2268,23,4158,989,1189,2217,3345,0,1331,1394,2074,0
2026-04-02 13:02:23.551,1882.557422169,1775106143551,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1843,123,3805,696,0,560,2922,411,3477,343,912,2522,4089,0,1197,1528,2624,0
2026-04-02 13:02:23.581,1882.587330162,1775106143581,right_insole,右鞋垫,FF:25:02:05:18:F3,2,2459,1024,3231,131,0,496,3637,1309,2960,0,318,2103,4872,0,602,1395,3264,0
2026-04-02 13:02:23.643,1882.649312155,1775106143643,right_insole,右鞋垫,FF:25:02:05:18:F3,2,3033,2275,2786,0,0,0,4003,2372,2628,0,0,705,5278,472,0,420,3476,483
2026-04-02 13:02:23.701,1882.707491529,1775106143701,right_insole,右鞋垫,FF:25:02:05:18:F3,2,2951,3180,2476,0,0,0,3571,3084,2442,0,0,0,4338,454,0,0,2679,317
2026-04-02 13:02:23.763,1882.770045416,1775106143763,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1716,2521,2175,0,0,0,1910,2502,2329,0,0,0,2329,0,0,0,1419,0
2026-04-02 13:02:23.791,1882.797413066,1775106143791,right_insole,右鞋垫,FF:25:02:05:18:F3,2,208,0,2022,0,0,0,122,299,2037,0,0,0,389,0,0,0,102,0
2026-04-02 13:02:23.851,1882.85753599,1775106143851,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2242,0,0,0,0,0,2277,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:23.911,1882.917607186,1775106143911,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2233,0,0,0,0,0,2271,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:23.971,1882.977535067,1775106143971,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2289,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.031,1883.037709815,1775106144031,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2262,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.061,1883.067636503,1775106144061,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2322,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.121,1883.127598484,1775106144121,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2306,0,0,0,0,0,2372,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.151,1883.157611018,1775106144151,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2170,0,0,0,0,0,2262,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.212,1883.218564796,1775106144212,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2272,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.271,1883.277620337,1775106144271,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,4530,627,0,0,0,0,5204,643,0,0,0,0,0,0,0,0
2026-04-02 13:02:24.332,1883.338375516,1775106144332,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,8844,3291,0,0,0,0,10203,3942,0,0,0,0,197,0,0,0
2026-04-02 13:02:24.361,1883.36734522,1775106144361,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,9306,4225,0,0,0,0,10388,4915,291,0,0,0,742,0,0,0
2026-04-02 13:02:24.512,1883.518537353,1775106144512,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,9414,4545,0,0,0,0,10574,5241,1056,383,230,0,1412,313,183,0
2026-04-02 13:02:24.512,1883.518587789,1775106144512,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,9000,4383,0,0,25,0,9957,5315,1367,935,873,0,2008,839,741,0
2026-04-02 13:02:24.541,1883.547453542,1775106144541,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,8134,4009,0,0,381,0,8854,4717,1648,1251,1404,0,2211,1158,1047,0
2026-04-02 13:02:24.572,1883.578293482,1775106144572,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,7024,3217,0,0,753,0,7475,3708,1742,1682,2012,0,2230,1501,1425,0
2026-04-02 13:02:24.632,1883.638587117,1775106144632,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,6285,2704,0,0,1283,0,6322,2794,1797,2243,2705,0,2290,1778,1881,0
2026-04-02 13:02:24.751,1883.757367805,1775106144751,right_insole,右鞋垫,FF:25:02:05:18:F3,2,475,0,5667,2074,0,249,1781,0,5451,2103,1746,2562,3436,0,2155,1858,2362,0
2026-04-02 13:02:24.751,1883.757448031,1775106144751,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1449,0,4571,1081,0,706,2827,207,4087,710,1354,3005,4555,0,1702,1897,3018,0
2026-04-02 13:02:24.841,1883.847461163,1775106144841,right_insole,右鞋垫,FF:25:02:05:18:F3,2,2087,0,3861,367,0,656,3875,862,3320,8,517,2624,5529,95,763,1514,3598,53
2026-04-02 13:02:24.841,1883.847517054,1775106144841,right_insole,右鞋垫,FF:25:02:05:18:F3,2,2771,1253,3189,0,0,0,4320,2394,2986,0,0,364,5566,711,0,103,3507,404
2026-04-02 13:02:24.901,1883.907431555,1775106144901,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1977,2233,2644,0,0,0,2773,3112,2623,0,0,0,3547,223,0,0,2345,0
2026-04-02 13:02:24.931,1883.937358811,1775106144931,right_insole,右鞋垫,FF:25:02:05:18:F3,2,1049,781,2311,0,0,0,1243,1451,2355,0,0,0,1546,0,0,0,870,0
2026-04-02 13:02:24.991,1883.997393707,1775106144991,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2237,0,0,0,0,0,2292,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:25.051,1884.057362283,1775106145051,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2304,0,0,0,0,0,2290,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:25.111,1884.11731984,1775106145111,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2339,0,0,0,0,0,2298,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:25.143,1884.149174118,1775106145143,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2292,0,0,0,0,0,2322,0,0,0,0,0,0,0,0,0
2026-04-02 13:02:25.231,1884.237226802,1775106145231,right_insole,右鞋垫,FF:25:02:05:18:F3,2,0,0,2269,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0
